tconst,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,ordering,category,job,seasonNumber,episodeNumber,primaryName,birthYear,deathYear,primaryProfession
tt11787811,Advice to the Lovelorn and Shopworn,Advice to the Lovelorn and Shopworn,1963,60,Drama,7.8,7,7,writer,written by,1,17,Sam Ross,1911,1998,writer
tt11837291,Message in a Bottle,Message in a Bottle,1992,50,"Comedy,Crime,Drama",8.6,31,10,writer,creator,7,6,William Stair,1939,1991,"writer,miscellaneous,editorial_department"
tt11866220,Cry Revenge,Cry Revenge,1958,26,"Crime,Drama",6.8,23,8,cinematographer,director of photography,1,29,Morris Hartzband,1911,1970,"cinematographer,camera_department"
tt12012343,Barbed Wire,Barbed Wire,1966,22,Western,8.0,17,8,producer,producer,2,22,Andrew J. Fenady,1928,2020,"producer,writer,music_department"
tt12129783,Look to the Stars,Look to the Stars,1962,60,Western,7.4,112,6,writer,written by,3,26,Robert M. Fresco,1930,2014,"writer,director,producer"
tt12176557,The Survivors,The Survivors,1965,50,"Adventure,Crime,Drama",8.2,149,8,producer,producer,2,23,Alan A. Armer,1922,2010,"producer,director,writer"
tt12188073,Ben White,Ben White,1961,25,Western,7.2,30,6,writer,creator,2,37,Andrew J. Fenady,1928,2020,"producer,writer,music_department"
tt12196170,The Infiltrators,The Infiltrators,1977,47,"Action,Crime,Drama",7.2,92,7,writer,written by,4,17,Sam Ross,1911,1998,writer
tt12231229,Episode 117,Episode 117,1976,22,"Comedy,Romance",7.7,24,6,writer,created by,1,17,Jerry Adelman,1910,1980,"writer,production_manager,miscellaneous"
tt12268098,Avalon Part 1,Avalon Part 1,1995,22,"Action,Adventure,Animation",7.8,161,9,editor,supervising film editor,2,21,Robert S. Birchard,1950,2016,"editorial_department,production_manager,editor"
tt12373619,Joey and Roberta Sherwood Play a Benefit,Joey and Roberta Sherwood Play a Benefit,1964,30,Comedy,6.8,12,6,writer,written by,3,20,Ray Singer,1916,1992,"writer,producer,script_department"
tt12383820,The Road to the Heart,The Road to the Heart,1962,60,Drama,8.6,10,8,writer,story,1,32,Mathilde Ferro,1906,1990,writer
tt12403103,Blackout,Blackout,1985,22,"Action,Adventure,Animation",6.5,27,9,producer,producer,1,28,Denis Héroux,1940,2015,"producer,director,writer"
tt12403947,The Secret of Life,The Secret of Life,1985,22,"Action,Adventure,Animation",5.7,28,9,producer,producer,1,22,Denis Héroux,1940,2015,"producer,director,writer"
tt12536993,Lucy the Babysitter,Lucy the Babysitter,1967,30,Comedy,7.2,69,6,writer,written by,5,16,Ray Singer,1916,1992,"writer,producer,script_department"
tt12555921,The Prowler,The Prowler,1953,30,Comedy,7.3,14,8,writer,writer,1,37,Al Schwartz,1910,1988,"writer,script_department"
tt12573243,There Is Nothing Like a Nurse,There Is Nothing Like a Nurse,1974,25,"Comedy,Drama,War",7.7,522,10,editor,film editor,3,10,Fred W. Berger,1908,2003,"editorial_department,editor"
tt12623318,Summit Meeting Part I,Summit Meeting Part I,1967,60,"Drama,Sci-Fi,Thriller",7.8,161,8,producer,producer,2,9,Alan A. Armer,1922,2010,"producer,director,writer"
tt12648572,Johnny Yuma,Johnny Yuma,1959,25,Western,8.2,109,6,writer,creator,1,1,Andrew J. Fenady,1928,2020,"producer,writer,music_department"
tt12725295,A Ride on the Wild Side,A Ride on the Wild Side,1987,50,"Comedy,Crime,Drama",6.4,11,8,writer,creator,2,7,William Stair,1939,1991,"writer,miscellaneous,editorial_department"
tt12814903,The Night Rider,The Night Rider,1956,30,"Adventure,Western",5.8,12,10,cinematographer,director of photography,1,17,Karl Struss,1886,1981,"cinematographer,camera_department,director"
tt12849157,Judgment Eve,Judgment Eve,1963,60,"Crime,Drama",8.4,11,8,cinematographer,director of photography,2,30,Morris Hartzband,1911,1970,"cinematographer,camera_department"
tt12849491,The Big Lie,The Big Lie,1959,30,Adventure,9.0,7,6,writer,writer,3,10,Jerry Adelman,1910,1980,"writer,production_manager,miscellaneous"
tt13045100,Betty Jo Goes to New York,Betty Jo Goes to New York,1965,26,Comedy,7.0,30,7,writer,written by,3,10,Al Schwartz,1910,1988,"writer,script_department"
tt13055916,A Necessary Evil,A Necessary Evil,1988,60,"Crime,Drama,Mystery",8.3,75,8,producer,producer,1,7,Hugh Benson,1917,1999,"producer,writer"
tt13060931,One Reborn Every Minute,One Reborn Every Minute,1989,60,"Comedy,Crime,Drama",6.0,7,8,writer,creator,3,11,William Stair,1939,1991,"writer,miscellaneous,editorial_department"
tt13070481,Lucy Protects Her Job,Lucy Protects Her Job,1969,30,Comedy,7.9,26,7,writer,written by,2,14,Ralph Goodman,1918,1986,writer
tt13082451,Kitty KarryAll Is Missing,Kitty KarryAll Is Missing,1969,25,"Comedy,Family",6.6,222,7,writer,written by,1,7,Al Schwartz,1910,1988,"writer,script_department"
tt13133741,The Cat Kicker,The Cat Kicker,1959,30,"Comedy,Mystery",6.5,9,8,producer,producer,2,26,Robert L. Welch,1910,1964,"producer,writer,director"
tt13208421,Lucy and the Gold Rush,Lucy and the Gold Rush,1968,30,Comedy,6.7,35,9,writer,creator,1,13,Ray Singer,1916,1992,"writer,producer,script_department"
tt13228878,Veronicas Blackout,Veronicas Blackout,1998,30,Comedy,6.1,24,9,writer,written by,1,17,Don Payne,1964,2013,"producer,writer,miscellaneous"
tt13241542,The Case of the Lucky Legs,The Case of the Lucky Legs,1959,60,"Crime,Drama,Mystery",7.9,248,9,cinematographer,director of photography,3,10,Frank Redman,1901,1966,"cinematographer,camera_department"
tt13280862,Death Chain,Death Chain,1971,51,"Action,Crime,Drama",7.7,117,9,producer,producer,1,2,Alan A. Armer,1922,2010,"producer,director,writer"
tt13296469,Where the Action Is,Where the Action Is,1964,51,"Adventure,Crime,Drama",7.8,217,8,producer,producer,1,18,Alan A. Armer,1922,2010,"producer,director,writer"
tt13315191,The Michael Holm Story,The Michael Holm Story,1958,30,Drama,7.3,9,8,writer,story supervisor,4,20,Milton Merlin,1905,1996,"producer,writer,miscellaneous"
tt13360305,Episode 119,Episode 119,1964,30,"Drama,Romance",8.1,12,9,writer,written by,1,19,Mathilde Ferro,1906,1990,writer
tt13383095,The Salinas Jackpot,The Salinas Jackpot,1971,51,"Action,Crime,Drama",7.2,136,8,producer,producer,1,1,Alan A. Armer,1922,2010,"producer,director,writer"
tt13498552,Date with Destiny,Date with Destiny,1992,22,"Adventure,Animation,Comedy",7.3,47,6,writer,written by,1,14,Stephen Levi,1941,2007,writer
tt13653531,The Tangs Last Shot,The Tangs Last Shot,1957,30,"Action,War",8.3,7,7,producer,producer,1,37,George Cahan,1919,1991,"director,producer,miscellaneous"
tt13669790,The USS Pampanito Story,The USS Pampanito Story,1957,30,"Action,War",8.3,11,6,producer,producer,1,10,George Cahan,1919,1991,"director,producer,miscellaneous"
tt13673214,Coward Step Aside,Coward Step Aside,1965,22,Western,8.2,41,9,producer,producer,1,7,Andrew J. Fenady,1928,2020,"producer,writer,music_department"
tt13741594,Episode 129,Episode 129,1976,22,"Comedy,Romance",8.1,14,6,writer,created by,1,29,Jerry Adelman,1910,1980,"writer,production_manager,miscellaneous"
tt13882145,Lucy Fights the System,Lucy Fights the System,1974,30,Comedy,8.3,38,8,writer,creator,6,24,Ray Singer,1916,1992,"writer,producer,script_department"
tt13919297,The Eyes of the Seawolf,The Eyes of the Seawolf,1957,30,"Action,War",8.1,9,7,producer,producer,1,22,George Cahan,1919,1991,"director,producer,miscellaneous"
tt13936568,Passage Deferred,Passage Deferred,1956,30,Western,7.0,6,10,cinematographer,director of photography,1,5,Karl Struss,1886,1981,"cinematographer,camera_department,director"
tt13949550,Lucy and the Winter Sports,Lucy and the Winter Sports,1964,30,Comedy,7.8,52,6,writer,written by,3,3,Ray Singer,1916,1992,"writer,producer,script_department"
tt14021846,The Chauffeur Tells a Secret,The Chauffeur Tells a Secret,1981,48,"Drama,Romance",7.1,93,9,producer,producer,1,7,Philip L. Parslow,1936,2003,"producer,assistant_director,production_manager"
tt14093255,Most Interesting Character,Most Interesting Character,1959,30,"Comedy,Family",8.4,110,9,writer,written by,2,39,Theodore Ferro,1924,2003,writer
tt14132554,The Passenger,The Passenger,1960,30,"Action,Crime,Drama",7.8,73,6,writer,written by,3,1,Lewis Reed,1921,1970,"writer,producer"
tt14145762,The Secret of Indian Gap,The Secret of Indian Gap,1954,30,"Family,Western",7.1,20,7,producer,producer,3,11,Jack Lacey,1903,1989,"producer,production_manager,assistant_director"
tt14147094,Bullets and a Burro,Bullets and a Burro,1953,30,"Family,Western",7.8,18,8,producer,producer,3,4,Jack Lacey,1903,1989,"producer,production_manager,assistant_director"
tt14196571,Episode 19,Episode 19,1976,22,"Comedy,Romance",7.6,30,6,writer,created by,1,9,Jerry Adelman,1910,1980,"writer,production_manager,miscellaneous"
tt14291173,Fog on Boulder Hill,Fog on Boulder Hill,1985,22,"Action,Adventure,Animation",6.7,25,9,producer,producer,1,54,Denis Héroux,1940,2015,"producer,director,writer"
tt14344122,The Algebra Problem,The Algebra Problem,1954,30,Comedy,5.8,7,6,writer,writer,1,6,Jerry Adelman,1910,1980,"writer,production_manager,miscellaneous"
tt14363642,Changing Times,Changing Times,1988,60,"Drama,Romance",7.9,39,8,producer,producer,8,1,Philip L. Parslow,1936,2003,"producer,assistant_director,production_manager"
tt14388720,Beavers IQ,Beavers IQ,1960,30,"Comedy,Family",7.8,94,9,writer,written by,4,9,Mathilde Ferro,1906,1990,writer
tt14388776,Never Wave Goodbye Part 1,Never Wave Goodbye Part 1,1963,51,"Adventure,Crime,Drama",8.3,236,8,producer,producer,1,4,Alan A. Armer,1922,2010,"producer,director,writer"
tt14471898,Episode 18,Episode 18,1964,30,"Drama,Romance",6.7,16,9,writer,written by,1,8,Theodore Ferro,1924,2003,writer
tt14566604,Lucy and Wally Cox,Lucy and Wally Cox,1970,30,Comedy,7.0,28,6,writer,written by,2,21,Ray Singer,1916,1992,"writer,producer,script_department"
tt14603591,Vindication,Vindication,1960,25,Western,7.9,39,7,writer,creator,2,12,Andrew J. Fenady,1928,2020,"producer,writer,music_department"
tt14745212,Caesars Sword,Caesars Sword,1985,22,"Action,Adventure,Animation",5.7,27,9,producer,producer,1,33,Denis Héroux,1940,2015,"producer,director,writer"
tt14759644,Will the Alligator Take the Stand,Will the Alligator Take the Stand,1964,25,"Comedy,War",6.4,37,6,writer,written by,3,7,Ralph Goodman,1918,1986,writer
tt14846504,Splinter Group,Splinter Group,1970,60,Western,8.3,27,8,producer,producer,2,19,Alan A. Armer,1922,2010,"producer,director,writer"
tt14951323,The Heart of Pony Alice,The Heart of Pony Alice,1968,60,Western,8.7,34,8,producer,producer,1,11,Alan A. Armer,1922,2010,"producer,director,writer"
tt14964670,Blind Date,Blind Date,1958,26,"Crime,Drama",7.1,25,8,cinematographer,director of photography,1,36,Morris Hartzband,1911,1970,"cinematographer,camera_department"
tt14984263,Episode 128,Episode 128,1976,22,"Comedy,Romance",8.1,14,6,writer,created by,1,28,Jerry Adelman,1910,1980,"writer,production_manager,miscellaneous"
tt15044831,The Rifle,The Rifle,1959,30,"Action,Crime,Drama",7.3,69,8,writer,teleplay,2,9,Lewis Reed,1921,1970,"writer,producer"
tt15060281,Who Killed Hamlet,Who Killed Hamlet,1965,60,"Action,Adventure,Crime",7.8,40,7,writer,written by,2,28,Lewis Reed,1921,1970,"writer,producer"
tt15065076,The Mom Who Came to Dinner,The Mom Who Came to Dinner,1981,30,Comedy,6.1,19,9,producer,producer,1,4,John Thomas Lenox,1946,1996,"production_manager,assistant_director,producer"
tt15127904,Caged,Caged,1956,30,Western,7.4,8,9,cinematographer,director of photography,1,8,Karl Struss,1886,1981,"cinematographer,camera_department,director"
tt15127969,Middle of a Heat Wave,Middle of a Heat Wave,1965,50,"Adventure,Crime,Drama",7.3,129,8,producer,producer,3,2,Alan A. Armer,1922,2010,"producer,director,writer"
tt15142675,Country Blues,Country Blues,1971,51,"Action,Crime,Drama",7.5,126,9,producer,producer,1,4,Alan A. Armer,1922,2010,"producer,director,writer"
tt15177914,Deathwatch,Deathwatch,1960,25,Western,6.9,32,6,writer,creator,2,6,Andrew J. Fenady,1928,2020,"producer,writer,music_department"
tt15224533,Ladies Man,Ladies Man,1958,26,"Crime,Drama",7.2,29,8,cinematographer,director of photography,1,28,Morris Hartzband,1911,1970,"cinematographer,camera_department"
tt15254416,Panda Power,Panda Power,1985,22,"Action,Adventure,Animation",3.6,36,9,producer,producer,1,27,Denis Héroux,1940,2015,"producer,director,writer"
tt15256723,Animo Farm,Animo Farm,2016,11,"Action,Adventure,Animation",3.7,58,10,writer,additional writing by,1,10,David Schwartz,1954,2021,"art_department,director,writer"
tt15275038,The Case of the Demure Defendant,The Case of the Demure Defendant,1958,52,"Crime,Drama,Mystery",7.8,367,10,cinematographer,director of photography,1,16,Frank Redman,1901,1966,"cinematographer,camera_department"
tt15299874,A Candle in the Window,A Candle in the Window,1964,60,Drama,9.0,10,9,cinematographer,director of photography,4,7,Ellis W. Carter,1906,1964,"cinematographer,camera_department,miscellaneous"
tt15383258,A Pocketful of Sin,A Pocketful of Sin,1959,26,"Crime,Drama",6.7,7,10,editor,film editor,1,16,Richard W. Farrell,1910,1980,"editor,editorial_department,director"
tt15411740,The Test,The Test,1965,22,Western,7.7,40,8,writer,story,1,3,Jerry Ziegman,1937,1998,"writer,miscellaneous"
tt15461744,Cry Uncle,Cry Uncle,1964,50,"Adventure,Crime,Drama",7.4,162,8,producer,producer,2,11,Alan A. Armer,1922,2010,"producer,director,writer"
tt15479589,The Sunfish Story,The Sunfish Story,1958,30,"Action,War",8.1,9,7,producer,producer,2,24,George Cahan,1919,1991,"director,producer,miscellaneous"
tt15496201,The Eyes of Texas,The Eyes of Texas,1989,51,"Comedy,Crime,Drama",7.0,7,9,writer,creator,4,13,William Stair,1939,1991,"writer,miscellaneous,editorial_department"
tt15503047,The Doll House,The Doll House,1953,30,"Comedy,Drama,Mystery",7.0,13,10,cinematographer,director of photography,1,19,Ellis W. Carter,1906,1964,"cinematographer,camera_department,miscellaneous"
tt15581934,Call to Glory Part 2,Call to Glory Part 2,1966,22,Western,7.8,18,8,writer,writer,2,25,Jerry Ziegman,1937,1998,"writer,miscellaneous"
tt15600425,Pilot,Pilot,1998,45,"Crime,Drama,Fantasy",8.3,63,8,producer,producer,1,1,Philip L. Parslow,1936,2003,"producer,assistant_director,production_manager"
tt15601451,Revenge of the KittyJungle Vacation,Revenge of the KittyJungle Vacation,1984,23,"Adventure,Animation,Comedy",6.1,13,9,producer,producer,1,19,Denis Héroux,1940,2015,"producer,director,writer"
tt15620125,Ride to Rio Verde,Ride to Rio Verde,1964,60,Western,7.0,7,10,writer,"novel ""Ride the Pink Horse""",1,9,Dorothy B. Hughes,1904,1993,writer
tt15630723,Condition Red,Condition Red,1967,60,"Drama,Sci-Fi,Thriller",7.8,187,8,producer,producer,2,1,Alan A. Armer,1922,2010,"producer,director,writer"
tt15662649,The Human Bomb,The Human Bomb,1958,30,"Comedy,Mystery",6.2,9,9,producer,producer,2,6,Robert L. Welch,1910,1964,"producer,writer,director"
tt15666711,Star or TomeowmeowSoccer Anyone,Star or TomeowmeowSoccer Anyone,1984,22,"Adventure,Animation,Comedy",5.6,9,9,producer,producer,1,65,Denis Héroux,1940,2015,"producer,director,writer"
tt15811810,The Broken Barrelhead,The Broken Barrelhead,1962,60,"Crime,Drama",8.4,16,9,cinematographer,director of photography,1,32,Morris Hartzband,1911,1970,"cinematographer,camera_department"
tt15866682,The Good Witch of Laurel Canyon,The Good Witch of Laurel Canyon,1982,60,"Drama,Fantasy,Mystery",7.6,27,9,producer,producer,1,1,John Thomas Lenox,1946,1996,"production_manager,assistant_director,producer"
tt15956808,Lucy and the Indian Chief,Lucy and the Indian Chief,1969,30,Comedy,6.0,31,8,writer,creator,2,3,Ray Singer,1916,1992,"writer,producer,script_department"
tt15990512,Lucy and the ExCon,Lucy and the ExCon,1969,30,Comedy,7.1,30,8,writer,creator,1,15,Ray Singer,1916,1992,"writer,producer,script_department"
tt16026992,Episode 126,Episode 126,1976,22,"Comedy,Romance",8.2,14,6,writer,created by,1,26,Jerry Adelman,1910,1980,"writer,production_manager,miscellaneous"
tt16059097,The Growlers Captain,The Growlers Captain,1958,30,"Action,War",7.9,8,7,producer,producer,2,18,George Cahan,1919,1991,"director,producer,miscellaneous"
tt16066222,Deceptions,Deceptions,1986,49,Drama,8.6,51,10,writer,teleplay,2,8,Carol Saraceno,1939,2017,"writer,actress,producer"
tt16080691,The Jonathan Bookman Story,The Jonathan Bookman Story,1958,30,Drama,7.8,7,8,writer,story supervisor,4,18,Milton Merlin,1905,1996,"producer,writer,miscellaneous"
tt16108320,Beavers Frogs,Beavers Frogs,1961,30,"Comedy,Family",7.9,86,9,writer,written by,4,35,Joseph Hoffman,1909,1997,"writer,producer"
tt16194609,Beavers Newspaper,Beavers Newspaper,1959,30,"Comedy,Family",7.7,85,8,writer,written by,2,30,Elon Packard,1923,1977,"writer,script_department"
tt16223079,Little Blalah,Little Blalah,1960,60,"Action,Adventure,Crime",7.2,14,9,editor,film editor,1,32,Holbrook N. Todd,1906,1972,"editor,editorial_department,producer"
tt16245757,The Innocent,The Innocent,1967,60,"Drama,Sci-Fi,Thriller",8.2,245,10,producer,producer,1,9,Alan A. Armer,1922,2010,"producer,director,writer"
tt16374832,Bitter Harvest,Bitter Harvest,1990,60,"Action,Adventure,Crime",7.0,236,7,writer,written by,6,9,Michael Kane,1922,2020,"writer,director"
tt16455284,Meanwhile Back at the Office,Meanwhile Back at the Office,1974,30,Comedy,7.4,24,9,writer,creator,6,16,Ray Singer,1916,1992,"writer,producer,script_department"
tt16525763,The Wanderer,The Wanderer,1962,60,"Drama,Sport,Western",7.2,14,6,writer,writer,1,10,Milton Geiger,1907,1971,"writer,director"
tt16562566,Somebody to Remember,Somebody to Remember,1964,51,"Adventure,Crime,Drama",7.9,179,8,producer,producer,1,26,Alan A. Armer,1922,2010,"producer,director,writer"
tt16588964,The Life Seekers,The Life Seekers,1968,60,"Drama,Sci-Fi,Thriller",8.0,156,8,producer,producer,2,24,Alan A. Armer,1922,2010,"producer,director,writer"
tt16594553,The Earl of Durango,The Earl of Durango,1960,30,Western,7.4,38,6,writer,creator,1,36,Andrew J. Fenady,1928,2020,"producer,writer,music_department"
tt16652912,Miss Reillys Revenge,Miss Reillys Revenge,1966,30,"Crime,Drama",7.2,7,8,writer,story,1,16,Leonard Kantor,1920,1984,writer
tt16662648,How Bugged Was My Valley,How Bugged Was My Valley,1966,25,Comedy,7.4,22,7,writer,written by,4,9,Al Schwartz,1910,1988,"writer,script_department"
tt16665417,Anonymity Anyone,Anonymity Anyone,1959,30,"Comedy,Mystery",6.4,9,8,producer,producer,2,24,Robert L. Welch,1910,1964,"producer,writer,director"
tt16685948,Fate,Fate,1988,60,"Crime,Drama,Mystery",8.6,82,8,producer,producer,1,4,Hugh Benson,1917,1999,"producer,writer"
tt16750368,Three Rode West,Three Rode West,1960,60,Western,7.6,72,6,writer,writer,2,3,Jerry Adelman,1910,1980,"writer,production_manager,miscellaneous"
tt16811512,The Case of the Haunted Husband,The Case of the Haunted Husband,1958,60,"Crime,Drama,Mystery",8.4,408,9,cinematographer,director of photography,1,19,Frank Redman,1901,1966,"cinematographer,camera_department"
tt16902137,Lucy Makes a Few Extra Dollars,Lucy Makes a Few Extra Dollars,1971,30,Comedy,6.9,26,9,writer,creator,4,6,Ray Singer,1916,1992,"writer,producer,script_department"
tt16933618,Fill No Glass for Me Part 2,Fill No Glass for Me Part 2,1965,22,Western,7.7,18,8,producer,producer,2,10,Andrew J. Fenady,1928,2020,"producer,writer,music_department"
tt16956913,A Lonely Place to Die,A Lonely Place to Die,1971,51,"Action,Crime,Drama",7.4,107,8,producer,producer,1,9,Alan A. Armer,1922,2010,"producer,director,writer"
tt17020193,Thisll Kill You,Thisll Kill You,1966,50,"Adventure,Crime,Drama",7.7,143,8,producer,producer,3,18,Alan A. Armer,1922,2010,"producer,director,writer"
tt17073140,Lucy Is Really in a Pickle,Lucy Is Really in a Pickle,1973,30,Comedy,6.7,26,9,writer,creator,5,15,Ray Singer,1916,1992,"writer,producer,script_department"
tt17087074,Cold Fever,Cold Fever,1985,22,"Action,Adventure,Animation",6.3,28,9,producer,producer,1,20,Denis Héroux,1940,2015,"producer,director,writer"
tt17150026,The Big Sprain,The Big Sprain,1970,25,"Comedy,Family",7.2,179,7,writer,written by,1,19,Tam Spiva,1932,2017,"script_department,writer,producer"
tt17156758,The Fort,The Fort,1965,30,Western,7.6,29,7,writer,writer,1,3,Sam Ross,1911,1998,writer
tt17158198,The Butchers Boy,The Butchers Boy,1963,52,"Action,Crime,Drama",7.1,39,9,producer,producer,4,22,Alan A. Armer,1922,2010,"producer,director,writer"
tt17231725,The Gar Story,The Gar Story,1957,30,"Action,War",8.4,12,7,producer,producer,1,28,George Cahan,1919,1991,"director,producer,miscellaneous"
tt17359226,Stage Door Bub,Stage Door Bub,1964,30,"Comedy,Family",5.7,43,7,writer,story,4,24,Robert L. Welch,1910,1964,"producer,writer,director"
tt17361070,The Leeches,The Leeches,1967,60,"Drama,Sci-Fi,Thriller",7.4,232,8,producer,producer,1,3,Alan A. Armer,1922,2010,"producer,director,writer"
